Id,Riferimento,Impronta,Quantità,Valore,JLCPCB Part #（optional）
47,"U22,U26,U31,U27,U21,U32",SOIC-8_3.9x4.9mm_P1.27mm,6,ACS722xLCTR-20AB,
48,"U43,U42",SO24W,2,CJ125,
55,U41,LQFP-100_14x14mm_P0.5mm,1,STM32G474VETx,
59,U55,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1051T-3,
71,U45,TO-263-3_TabPin2,1,LM1084-3.3,
72,U44,TO-263-3_TabPin2,1,LM1084-5.0,
9,"L1,L2",L_Vishay_IHLP-6767,2,10uH,
12,"J6,J4,J7,J3",PinSocket_2x10_P2.54mm_Vertical,4,Conn_02x10_Odd_Even,
24,"J12,J11",PinSocket_2x03_P2.54mm_Vertical_SMD,2,Conn_02x03_Odd_Even,
44,JP4,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Jumper_2_Open,
50,J2,PinSocket_2x18_P2.54mm_Vertical_SMD,1,Conn_02x18_Odd_Even,
53,J10,LD09S13A4GX00LF,1,LD09S13A4GX00LF,
56,J1,CONN_5601380001-SD_MOL,1,5601381861,
58,J5,PinSocket_2x20_P2.54mm_Vertical,1,Conn_02x20_Odd_Even,
60,J8,IDC-Header_2x07_P2.54mm_Vertical,1,Conn_02x07_Odd_Even,
62,J9,PinSocket_2x15_P2.54mm_Vertical,1,Conn_02x15_Odd_Even,
63,"Q17,Q12,Q7,Q1,Q15,Q2,Q18,Q4,Q16,Q10,Q9,Q11,Q3,Q14,Q13,Q6,Q8,Q5",TO-252-2,18,SUD80460E,
64,"Q31,Q32",TO-252-2,2,BUK9230-100B,
66,"Q27,Q19,Q28,Q22,Q25,Q20,Q21,Q29,Q30,Q26,Q23,Q24",TO-252-2,12,RGPR30BM40,
67,"Q36,Q34",TO-252-2,2,STD30NF06LT4,
41,"Q35,Q33",Q_SOT-23,2,SS8550,
61,Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,Crystal_GND24,
65,"IC7,IC9,IC4,IC11,IC2,IC6,IC12,IC10,IC8,IC5,IC3,IC1",PG-TO263-7-1,12,IFX007TAUMA1,
