"Package pin","MCU pin","Board net / purpose","Mode / peripheral","AF","Direction","Safe reset state","Notes"
"90","PA9","BOOST34","HRTIM1_CHA2","AF13","Output","Low","Injector-pair boost command; external pull-down"
"91","PA10","BOOST56","HRTIM1_CHB1","AF13","Output","Low","Injector-pair boost command; external pull-down"
"92","PA11","USB_DM","USB_DM","","Reserved","Input","Keep free/test point even if USB is not populated"
"93","PA12","USB_DP","USB_DP","","Reserved","Input","Keep free/test point even if USB is not populated"
"94","VSS","GND","Power","","Power","","Ground"
"95","VDD","+3V3","Power","","Power","","Place local 100 nF decoupling"
"96","PA13","SWDIO","SYS_JTMS-SWDIO","","Bidirectional","Debug","Do not repurpose"
"97","PF6","CAM4_TRG","TIM5_CH1 input capture","AF6","Input","Input","32-bit capture"
"98","PA14","SWCLK","SYS_JTCK-SWCLK","","Input","Debug","Do not repurpose"
"99","PA15","INJ1112_sel","GPIO output","","Output","Low","Disable full JTAG but retain SWD; external pull-down"
"100","PC10","UART4_TX","UART4_TX","AF5","Output","High/idle","3.3 V logic unless a transceiver is added"
"101","PC11","UART4_RX","UART4_RX","AF5","Input","Input","3.3 V logic unless a transceiver is added"
"102","PC12","UART5_TX","UART5_TX","AF5","Output","High/idle","3.3 V logic unless a transceiver is added"
"103","PG5","SERIAL_CTRL_LATCH","GPIO latch clock","","Output","Low","Pulse only after all 24 safe/configuration bits have been shifted"
"104","PG6","GPIO12VIN_8","GPIO input","","Input","Input","General conditioned 12 V input"
"105","PG7","GPIO12VIN_9","GPIO input","","Input","Input","General conditioned 12 V input"
"106","PG8","GPIO12VIN_10","GPIO input","","Input","Input","General conditioned 12 V input"
"107","PG9","GPIO12VIN_11","GPIO input","","Input","Input","General conditioned 12 V input"
"108","PD0","CAN1_RX","FDCAN1_RX","AF9","Input","Input","TJA1051 RXD pin 4 to MCU RX"
"109","PD1","CAN1_TX","FDCAN1_TX","AF9","Output","Recessive/idle","MCU TX to TJA1051 TXD pin 1"
"110","VSS","GND","Power","","Power","","Ground"
"111","VDD","+3V3","Power","","Power","","Place local 100 nF decoupling"
"112","PD2","UART5_RX","UART5_RX","AF5","Input","Input","3.3 V logic unless a transceiver is added"
"113","PD3","CRANK_TRG","TIM2_CH1 input capture","AF2","Input","Input","32-bit primary crank capture"
"114","PD4","CAM1_TRG","TIM2_CH2 input capture","AF2","Input","Input","32-bit capture"
"115","PD5","LED1","GPIO output","","Output","Low","Separate status LED; never place on an ADC divider"
"116","PD6","CAM3_TRG","TIM2_CH4 input capture","AF2","Input","Input","32-bit capture"
"117","PD7","CAM2_TRG","TIM2_CH3 input capture","AF2","Input","Input","32-bit capture"
"118","PB3","CAN3_RX","FDCAN3_RX","AF11","Input","Input","Consumes SWO/full-JTAG and HRTIM EEV9"
"119","PB4","CAN3_TX","FDCAN3_TX","AF11","Output","Recessive/idle","Consumes HRTIM EEV7"
"120","PB5","CAN2_RX","FDCAN2_RX","AF9","Input","Input","Consumes HRTIM EEV6"
"121","PB6","CAN2_TX","FDCAN2_TX","AF9","Output","Recessive/idle","Consumes HRTIM EEV4"
"122","PB7","CJ125_2_HEATER_PWM","TIM4_CH2 PWM","AF2","Output","Low/off","Independent hardware PWM; external heater gate stage must default off"
"123","PB8-BOOT0","BOOT0","Boot strap / reserved","","Reserved","Strapped low","Provide controlled strap/test point; do not leave floating"
"124","PB9","COMP2_OUT","COMP2_OUT","AF8","Output","Low/off","Physical comparator output required by existing external current-limit gate"
"125","PE0","USART1_TX","USART1_TX","AF7","Output","High/idle","PE0 is not an HSE pin"
"126","PE1","USART1_RX","USART1_RX","AF7","Input","Input","PE1 is not an HSE pin"
"127","VSS","GND","Power","","Power","","Ground"
"128","VDD","+3V3","Power","","Power","","Place local 100 nF decoupling"
